title,director
"神偷奶爸","皮艾尔·柯芬 "
"神偷奶爸"," 克里斯·雷纳德"
"哈尔的移动城堡","宫崎骏"
"阳光姐妹淘","姜炯哲"
"蝴蝶效应","埃里克·布雷斯 "
"蝴蝶效应"," J.麦基·格鲁伯"
"情书","岩井俊二"
"死亡诗社","彼得·威尔"
"禁闭岛","马丁·斯科塞斯"
"西西里的美丽传说","朱塞佩·托纳多雷"
"低俗小说","昆汀·塔伦蒂诺"
"恐怖直播","金秉祐"
"钢琴家","罗曼·波兰斯基"
"沉默的羔羊","乔纳森·戴米"
"驯龙高手","迪恩·德布洛斯 "
"驯龙高手"," 克里斯·桑德斯"
"狩猎","托马斯·温特伯格"
"黑客帝国","安迪·沃卓斯基 "
"黑客帝国"," 拉娜·沃卓斯基"
"教父2","弗朗西斯·福特·科波拉"
"致命ID","詹姆斯·曼高德"
"饮食男女","李安"
"狮子王","罗杰·阿勒斯 "
"狮子王"," 罗伯·明可夫"
"美国往事","赛尔乔·莱翁内"
"时空恋旅人","理查德·柯蒂斯"
"告白","中岛哲也"
"黑天鹅","达伦·阿伦诺夫斯基"
"射雕英雄传之东成西就","刘镇伟"
"入殓师","泷田洋二郎"
"勇敢的心","梅尔·吉布森"
"心灵捕手","格斯·范·桑特"
"加勒比海盗","戈尔·维宾斯基"
"杀人回忆","奉俊昊"
"重庆森林","王家卫"
"断背山","李安"
"玛丽和马克思","亚当·艾略特"
"拯救大兵瑞恩","史蒂文·斯皮尔伯格"
"7号房的礼物","李焕庆"
"第六感","M·奈特·沙马兰"
"再次出发之纽约遇见你","约翰·卡尼"
